SKU,Name
  0ZV-YUX-6FC,Xiameter Pmx 200 - 55 GL
  5ZP-SG4-PCC,Dow Silicon Release Coating DC 20 - 55 GL
  CGS-KJM-DXN,"Acetone, Semiconductor - 1 GL"
  NC2-CVL-XFJ,Ultralane Thinner - 1 GL
  TCR-9V8-2GY,Isopropyl Alcohol 99.9% Semiconductor - 4 X 1 Gallons per Case
  VQP-ELS-Z4N,Hydrochloric Acid 37% Technical Grade  - 1 Quart Bottle
  WD2-QPX-HMA,Citric Acid 50% - 55 GL Drum
  Y2D-F7L-H9Q,Sodium Hydroxide 50% - 275 GL Tote
  YHS-EAX-SEF,Potassium Hydroxide Technical (Lump Form) - 100 LB Open Head Metal Drum
 3BS-HDF-V4C,Methyl Isobutyl Ketone ACS - 1 Qt Glass BT
 45D-9ZH-44C,Isopropyl Alcohol 99% Technical Grade - 1 Pint Bottle
 B23-UDE-K5D,Hydrofluoric Acid 49% - 4 X 1 Gallons per Box
 F0S-0HF-XS2,Propylene Glycol 35% - 55 Gallon Drum
 FW7-TPR-CC4,"Acetone, ACS - 473 mL Bottle"
 MMN-JBC-3RJ,Sodium Hypochlorite 5.25% - 1 GL
 OREV-PDYJ-JMOV,Acetone Technical Grade - 5 Gallon Metal Pail
 Q82-N8A-5EZ,Petroleum Ether Tech - 1 Gallon Can
 QZT-4DY-9XD,"Lubricating Oil, Gear - 85W140 - 1 QT"
01K-WCQ-RU7,Potassium Bicarbonate FCC USP Grade - 8 Pack (16 LB)
02-3FRK-JDSJ,Methyl n-Amyl Ketone (MAK) - 1 Quart
03U-ADX-WHL,Trisodium Phosphate Dodecahydrate - ACS Reagent Grade - 8 Pack (16 lbs)
04D-OEJ-BK1,Nitric Acid 5% - 1 Liter Bottle
06Q-K4V-87G,TriSodium EDTA - 16 Pack (32 LB)
07K-NNK-VSU,Sodium Hydroxide 50% Solution ACS Grade - 4x5 Gallon
08Q-JQ4-CPI,Nitric Acid 5% -  4x1 (2.5L) Bottles
0C-258U-ETSE,Deionized Water - 1 Quart
0LA-VU1-M94,Ammonium Hydroxide 29% Technical Grade - 2 Quarts
0N0-0EJ-WF2,Organic Fine Vermiculite - 45LB (3x 15LB Boxes)
0N-IBAK-JOZG,Isopropyl Alcohol 70% - 1 Quart Bottle
0OK-BKC-K0W,Propylene Glycol Inhibited - ACS Grade - 36 x 5 Gallon Pail
0O-KRZ6-J7IT,Isopropyl Acetate 99.98% - 15 Gallon Carboy
0RF-C7Y-P4H,Hydrofluorosilicic Acid 23% (HFS) - 4 Gallon
0S-ZEXC-UD0X,Trichloroethylene - 1 Gallon Metal Can
0T8-UCE-LJ6,50% Vinegar - 8 Quart w/ Spray
0T-QNO5-DXBM,A-A-59601E Type III - 5 Gallon Pail
0U-0V54-C1W6,Sodium Hydroxide 50%  - 4 Gallons
0WR-WPM-GS5,Industrial Talc Powder - 2 Pack - 4 lbs.
0X-3G60-XEAJ,Glycerin - USP Food Grade - 55 Gallon Drum
0Y-4JSZ-V5QS,TriSodium Phosphate Dodecahydrate - ACS Grade - 2LB Canister
0Z4-X0K-V1M,Isobutyl Alcohol 99% ACS Grade - 55 Gallon Drum
0Z7-EZD-VDK,VM&P Naphtha - 1 Quart
0ZV-YUX-6FC,Xiameter Pmx 200 - 55 Gallon
0Z-XVMN-TBLT,Sodium Hydroxide 50% - 1 Gallon - (4) Quarts
10V-MX6-CEH,Phosphoric Acid 75% USP Food Grade - 2 Quart Bottles
14V-0EL-XG1,"Magnesium Chloride Hexahydrate, FCC USP Grade - 32 Pack"
15K-JPW-YQC,Propylene Glycol Inhibited - ACS Grade - 1 Gallon
186-N54-PSU,Sodium Hypochlorite 5.25% - 8 Quarts with Spray Bottle
18V-PT5-7CL,Methyl Isobutyl Ketone (MIBK) Technical Grade - 4 Gallon Case
19A-AJU-8DX,Ethylene Glycol ACS Grade - 15 Gallon Carboy
1B-MHO6-QXSP,A-A-59601E Type III – 1 Gallon
1B-ZOM7-1PZM,Potassium Hydroxide Flakes 99% - 2 lb. Canister
1J5-072-KHP,n-Heptane 99% Technical - 8 Quarts
1JU-3ES-4JT,Boric Acid - Technical Grade - 16 lbs
1L-1PSK-A9S8,50% Vinegar - 275 Gallon Tote
1N-BMY1-7NF6,Sodium Hypochlorite 12.5% - 5 Gallon Pail
1P2-F6D-EJE,Premium n-Amyl Acetate - ACS - 1 Quart Bottle
1Q0-F0C-VPC,Glycol Ether EE ACS - 4 Gallon Case Bottle
1Q0-RXG-GRQ,Phosphoric Acid 30% - 1 Gallon
1Q8-PGH-CS1,Perchloroethylene ACS Grade - 1 Quart - Solvent Applications
1S4-536-E5A,Methyl Isobutyl Ketone (MIBK) ACS Grade - 4 Quart Cans
1T0-A7H-Q9X,100% Propylene Glycol Inhibited - 275 Gallon Tote
1Y3-4DK-TA6,Isopropyl Alcohol 99% - 1 Gallon Bottle
1YB-Y88-V5H,Sodium Hydroxide 25% ACS Grade - 275 Gallon Tote
1YJ-DGS-9GG,Acetone ACS Grade - 4 Liter Glass Bottle
1Z-GL3I-LIW2,Denatured Alcohol 190 Proof 3A - 55 Gallon Drum
21P-V84-Z5J,Calcium Chloride - 16 Pack (32 lbs)
22-0V8X-EB1N,Gleam Guru - 10% Ammonia - 5 Gallon
22-QLTY-ZL1O,Deionized Water - 275 Gallon
236-RTA-TAX,Hydrochloric Acid 5% Technical Grade - 4 x 55 Gallon Drums
23U-8D7-MBQ,Isopropyl Acetate 99.98% ACS Grade - 4 Quart
24R-J6S-Z35,Ammonium Hydroxide 29% ACS Grade - 2 Quart
26-32X8-MBE1,Gleam Guru - 2 Quarts (64 fl oz.)
27-CW39-BP19,D-Limonene USP Grade - 5 Gallon Pail
27T-RFT-LRW,A-A-59601E Type III - 4 x 36 Cases
29L-GGH-NDH,Methyl n-Propyl Ketone (MPK) ACS - 4 Gallon Case
2B-9L1A-DL8K,Isopropyl Alcohol 91% - 1 Quart Bottle
2C8-69M-F3F,Methyl Isobutyl ketone (MIBK) ACS Grade - 1 Quart Can
2E-T0QK-KJU0,N-Butyl Acetate - 4 Gallons
2GR-P2S-ASC,Methanol/DI Water Solution 60/40 - ACS Grade - 8 Quarts
2H-B9PN-4JJ4,Xylene - 1 Gallon
2HJ-X7N-Q9J,Glycol Ether EE - 1 Quart
2H-ZPQX-3RCE,"Oxalic Acid, Dihydrate - 5 Lb. Bag"
2JS-BQP-HWH,Amyl Acetate - 15 Gallon
2JT-5DT-8X3,Xylene - 36 Cases (4x1 Gallons) - Full Pallet
2KR-D8V-RCJ,Blendpro - Professional Paint Thinning Solution - 4 Gallon
2KV-AY8-V7Z,Glycerin Technical Grade - 5 Gallon Pail
2M0-AP3-U1H,Vinegar 75% ACS Grade - 1 Quart with Spray Bottle
2MX-MQK-12C,Vinegar 75% ACS Grade - 4 Quart Bottles
2P3-Z6P-DS3,Sulfuric Acid 30% - 1 Quart
2R5-B8M-6S0,Methyl Isobutyl Ketone (MIBK) Technical Grade - 2 Quart Cans
2RW-WFC-5G9,Methyl n-Propyl Ketone (MPK) - 4 x 55 Gallon Drums
2S6-GCK-5YT,Hydrofluorosilicic Acid 23% ACS Grade - 275 Gallon Tote
2TC-YYE-TXK,Sodium Hypochlorite 10% - 55 Gallon Drum
2U8-KFE-UKC,Isopropyl Alcohol 70% USP Grade- 4 Gallons x 36 Cases
2V9-37C-05G,100% Pure Castor Oil - 55 Gallon Drum
2X-ZICG-T942,Isopropyl Alcohol 70% - USP Grade - (4) 32 FL Oz Quart Spray Bottle
2YB-8VZ-3MV,"Oxalic Acid, Dihydrate - Ethanedioic Acid - 2 Pack (4LB)"
2YR-S55-7YY,Siphon Drum Pump
2Z8-A8Y-798,Citric Acid Monohydrate - USP Food Grade - 16 Pack (32 LB)
31-J0UG-6Q97,D-Limonene USP Grade - 1 Quart Spray Bottle
34-4KYV-38HV,Isopropyl Alcohol 99% - 4 x 1 Gallons with Pump Dispensers
34H-P0C-CP2,Sulfuric Acid 50% Electrolyte Grade - 1 Quart
35R-LCC-LDF,Phosphoric Acid 85% ACS - 5 Gallon
369-X5P-84G,30% Vinegar - Concentrated Industrial Strength - 4 x 55 Gallon Drums
36W-3VG-ERP,Sodium Hydroxide Flakes ACS Grade - 4LB - 2 Pack Can
374-BQ3-5M9,Boric Acid ACS Grade - 12 KG Container
375-BN7-NSQ,Denatured Alcohol 200 Proof 3A - 4 x 55 Gallon Drums (4 Drums)
